  57262.3168500  -0.0014432   0.0013739
  57262.3176760  -0.0013064   0.0013111
  57262.3185030  -0.0013377   0.0012870
  57262.3193300  -0.0025801   0.0012788
  57262.3201910  -0.0005569   0.0013545
  57262.3209020   0.0001763   0.0013366
  57262.3216130   0.0003752   0.0013378
  57262.3223230   0.0012095   0.0013415
  57262.3230340   0.0007789   0.0013320
  57262.3237450  -0.0016880   0.0013474
  57262.3244560  -0.0014923   0.0012985
  57262.3251670  -0.0010664   0.0013123
  57262.3258800   0.0002933   0.0013188
  57262.3265900  -0.0018292   0.0013123
  57262.3273010   0.0000240   0.0012934
  57262.3280120  -0.0012232   0.0012929
  57262.3287230   0.0010616   0.0012776
  57262.3294340   0.0010266   0.0013477
  57262.3301450   0.0005485   0.0013680
  57262.3308560  -0.0003419   0.0013010
  57262.3315670   0.0005823   0.0013445
  57262.3322780  -0.0013558   0.0013212
  57262.3329890   0.0005893   0.0013191
  57262.3337000   0.0003525   0.0013461
  57262.3344110   0.0025032   0.0013230
  57262.3351220   0.0007751   0.0013681
  57262.3358330   0.0000315   0.0013297
  57262.3365440   0.0006617   0.0013353
  57262.3372550  -0.0000227   0.0013251
  57262.3379660  -0.0009295   0.0013425
  57262.3386770   0.0017396   0.0013114
  57262.3393880   0.0002552   0.0013144
  57262.3400990   0.0011903   0.0012843
  57262.3408100   0.0014194   0.0013066
  57262.3417470   0.0017334   0.0013833
  57262.3423420  -0.0017007   0.0014436
  57262.3429370   0.0012090   0.0013824
  57262.3435330  -0.0005314   0.0014281
  57262.3441280   0.0013803   0.0014283
  57262.3447230   0.0011087   0.0014471
  57262.3453180   0.0018341   0.0014423
  57262.3459130   0.0005575   0.0014202
  57262.3465080  -0.0005369   0.0014253
  57262.3471040  -0.0004081   0.0014114
  57262.3476990   0.0011729   0.0014406
  57262.3482940   0.0011454   0.0014084
  57262.3488900   0.0023736   0.0013739
  57262.3494850  -0.0007074   0.0014278
  57262.3500800  -0.0006728   0.0013893
  57262.3506750  -0.0029180   0.0014346
  57262.3512700  -0.0009209   0.0013850
  57262.3518660   0.0004108   0.0014318
  57262.3524610   0.0020110   0.0014324
  57262.3530560  -0.0003241   0.0014285
  57262.3536510  -0.0015714   0.0014227
  57262.3542470   0.0004761   0.0014388
  57262.3548420  -0.0003389   0.0014312
  57262.3554370   0.0003902   0.0014199
  57262.3560330  -0.0006474   0.0014178
  57262.3566280  -0.0021544   0.0014357
  57262.3572230  -0.0013415   0.0014146
  57262.3578180  -0.0005716   0.0014237
  57262.3584130  -0.0002629   0.0014225
  57262.3590080  -0.0003033   0.0014386
  57262.3596040  -0.0005200   0.0014216
  57262.3601990  -0.0001421   0.0014296
  57262.3607940   0.0018387   0.0014187
  57262.3613890   0.0019474   0.0014085
  57262.3619840   0.0041734   0.0014145
  57262.3625790   0.0006677   0.0014316
  57262.3631750  -0.0020028   0.0013846
  57262.3637700   0.0010383   0.0014362
  57262.3643650   0.0041291   0.0014196
  57262.3649610   0.0018340   0.0014344
  57262.3655560   0.0035298   0.0014330
