6809.42412124	-52.538	0.018	-0.011	0.036
6812.40562127	-53.308	0.019  -0.075	0.038
6828.38572140	-54.153	0.018  -0.050	0.036
6829.41822141	-53.286	0.018  -0.049	0.036
6830.38052141	-52.731	0.019  -0.077	0.038
6831.42122142	-52.529	0.018  -0.080	0.036
6832.37272143	-52.652	0.023  -0.050	0.046
6836.42922147	-52.602	0.018  -0.050	0.036
6838.45902148	-52.804	0.021  -0.094	0.042
6839.45602149	-53.870	0.019  -0.009	0.038
6855.42772162	-52.779	0.019  -0.023	0.038
6856.41742163	-53.924	0.018  -0.009	0.036
6863.38222169	-53.180	0.019  0.004	0.038
6867.40542172	-53.487	0.019  -0.086	0.038
6868.44052173	-53.834	0.020  -0.042	0.040
6869.37172174	-52.929	0.019  -0.029	0.038
6870.41492175	-52.576	0.018  -0.025	0.036
6901.39852199	-53.630	0.019  -0.032	0.038
6978.22392263	-52.531	0.022  -0.051	0.044
7076.66872350	-54.120	0.020  -0.069	0.040
7127.53102395	-54.136	0.018  -0.045	0.036
7134.49132401	-53.049	0.018  -0.035	0.036
