7178.83018277    4.50003 0.04460   0.02066 0.04449  
7599.63866319    4.45652 0.01905   -0.00098        0.01893 
7601.77194977    4.63207 0.02348   0.03447 0.02339  
7607.62023808    4.50951 0.02514   0.03382 0.02506  
7631.60963376    4.53797 0.01784   0.06173 0.01771  
7650.55376385    4.48412 0.02377   0.05799 0.02368  
7653.51691694    4.53202 0.01949   0.05125 0.01937  
7656.51122678    4.62146 0.02150   0.04277 0.02139  
7659.59192131    4.63964 0.02464   0.05968 0.02455  
7694.51964146    4.66020 0.04643   -0.04468        0.04638 
7903.88570798    4.44651 0.03167   -0.01444        0.03160 
7905.82347289    4.64567 0.02465   0.02729 0.02456   
7908.81357785    4.60582 0.02411   0.07650 0.02402   
7932.86182769    4.69612 0.04896   -0.23299        0.04892 
7952.79515053    4.65438 0.04507   -0.01231        0.04501 
7953.80248816    4.51019 0.03223   -0.05321        0.03217 
7956.78255852    4.64673 0.02671   0.00976 0.02663  
7961.66489508    4.45089 0.03707   0.14587 0.03701  
7995.61860466    4.60335 0.07239   -0.06482        0.07236 
8068.50888857    4.54272 0.03074   -0.05931        0.03067 
8069.50580058    4.63024 0.02726   0.03827 0.02717    
8309.81551306    4.50359 0.03287   -0.03306        0.03279 
8311.82403984    4.60784 0.03080   0.02843 0.03072 
8312.75516742    4.46102 0.02365   0.00119 0.02354 
8314.73909057    4.63585 0.03107   0.05274 0.03098 
8323.69370442    4.61296 0.03159   0.04267 0.03150 
