# HJD    Mag    Mag_err
6912.41556000    0.00276    0.00855
6912.41581000    0.00127    0.00853
6912.41607000    0.00642    0.00863
6912.41632000    -0.00323    0.00944
6912.41658000    -0.00123    0.00849
6912.41683000    0.00051    0.00878
6912.41709000    0.00064    0.00856
6912.41761000    0.00100    0.00885
6912.41786000    -0.00023    0.00854
6912.41863000    -0.00323    0.00907
6912.41888000    0.00171    0.00887
6912.41914000    0.00010    0.00911
6912.41939000    -0.00029    0.00857
6912.41964000    -0.00338    0.00867
6912.41990000    -0.00053    0.00882
6912.42015000    -0.01645    0.00938
6912.42041000    0.00345    0.00872
6912.42092000    0.01115    0.00875
6912.42143000    0.00627    0.00873
6912.42195000    0.00530    0.00861
6912.42220000    0.00500    0.00864
6912.42246000    0.00726    0.00866
6912.42271000    -0.00249    0.00862
6912.42297000    0.00540    0.00862
6912.42322000    -0.00284    0.00850
6912.42399000    -0.00287    0.00851
6912.42424000    0.00310    0.00864
6912.42449000    0.00098    0.00861
6912.42500000    0.00227    0.00861
6912.42552000    0.00231    0.00906
6912.42578000    0.00322    0.00880
6912.42603000    0.00120    0.00891
6912.42629000    -0.00029    0.00869
6912.42654000    -0.00194    0.00853
6912.42680000    0.00364    0.00867
6912.42705000    0.00547    0.00866
6912.42731000    0.00608    0.00867
6912.42756000    0.00447    0.00866
6912.42782000    0.00394    0.00864
6912.42807000    0.00448    0.00867
6912.42833000    -0.00442    0.00847
6912.42858000    -0.00135    0.00914
6912.42883000    0.00431    0.00870
6912.42910000    0.00596    0.00869
6912.42936000    0.00228    0.00860
6912.42961000    0.00192    0.00861
6912.42986000    0.00353    0.00865
6912.43037000    0.00393    0.00866
6912.43063000    0.00668    0.00917
6912.43088000    0.00738    0.00879
6912.43114000    0.00074    0.00912
6912.43139000    0.00077    0.00861
6912.43165000    0.00334    0.00879
6912.43216000    0.00112    0.00862
6912.43241000    0.00310    0.00885
6912.43267000    0.00107    0.00861
6912.43293000    -0.00243    0.00888
6912.43344000    0.00721    0.00874
6912.43370000    0.00893    0.00877
6912.43395000    0.00908    0.00877
6912.43420000    -0.00330    0.00854
6912.43446000    0.00535    0.00874
6912.43471000    0.00807    0.00877
6912.43497000    0.00320    0.00865
6912.43522000    0.00441    0.00868
6912.43548000    0.00750    0.00875
6912.43573000    0.00174    0.00866
6912.43599000    -0.00202    0.00863
6912.43624000    0.00662    0.00872
6912.43650000    0.00509    0.00873
6912.43675000    0.00328    0.00879
6912.43753000    0.01729    0.00913
6912.43778000    0.00305    0.00871
6912.43804000    -0.00004    0.00862
6912.43829000    0.00842    0.00881
6912.43854000    -0.00020    0.00864
6912.43880000    0.00223    0.00867
6912.43905000    0.00529    0.00874
6912.43931000    -0.00110    0.00863
6912.43956000    0.00802    0.00883
6912.43982000    0.00273    0.00869
6912.44007000    0.01102    0.00888
6912.44033000    0.00034    0.00867
6912.44058000    0.00771    0.00881
6912.44085000    0.00880    0.00907
6912.44136000    0.00633    0.00877
6912.44161000    0.00430    0.00874
6912.44187000    0.00216    0.00870
6912.44212000    0.00253    0.00874
6912.44238000    0.00328    0.00878
6912.44263000    0.00505    0.00881
6912.44289000    0.00683    0.00889
6912.44314000    0.00118    0.00871
6912.44339000    0.00564    0.00880
6912.44365000    0.00263    0.00873
6912.44390000    0.01051    0.00890
6912.44416000    0.00555    0.00884
6912.44441000    -0.00031    0.00873
6912.44468000    0.00387    0.00890
6912.44493000    0.00723    0.00888
6912.44519000    0.00327    0.00882
6912.44544000    0.00898    0.00896
6912.44621000    0.00131    0.00876
6912.44646000    0.01106    0.00913
6912.44672000    0.00452    0.00879
6912.44697000    0.00684    0.00889
6912.44748000    -0.00292    0.00875
6912.44773000    -0.00173    0.00873
6912.44799000    0.00249    0.00901
6912.44824000    0.00116    0.00878
6912.44851000    0.00624    0.00894
6912.44927000    0.00371    0.00882
6912.44953000    0.00793    0.00897
6912.45004000    0.00624    0.00887
6912.45055000    0.00782    0.00903
6912.45080000    -0.02509    0.01183
6912.45106000    0.01415    0.00915
6912.45131000    0.00478    0.00885
6912.45157000    0.00083    0.00881
6912.45182000    0.01185    0.00899
6912.45207000    0.00428    0.00892
6912.45234000    -0.00209    0.00873
6912.45260000    -0.00027    0.00876
6912.45310000    0.00533    0.00885
6912.45336000    -0.00085    0.00878
6912.45361000    0.00863    0.00909
6912.45387000    -0.00725    0.00864
6912.45412000    0.00572    0.00893
6912.45438000    0.00584    0.00892
6912.45489000    0.00217    0.00881
6912.45540000    0.00941    0.00901
6912.45565000    0.00370    0.00891
6912.45591000    0.00631    0.00890
6912.45616000    0.00188    0.00883
6912.45668000    0.00027    0.00885
6912.45694000    0.00474    0.00888
6912.45719000    0.00259    0.00905
6912.45744000    -0.00118    0.00877
6912.45821000    0.00473    0.00888
6912.45846000    0.00475    0.00892
6912.45872000    0.00090    0.00934
6912.45897000    0.00134    0.00886
6912.45923000    0.00208    0.00888
6912.45948000    0.00023    0.00894
6912.45974000    0.00609    0.00897
6912.45999000    0.00148    0.00889
6912.46025000    0.00424    0.00894
6912.46051000    -0.00257    0.00881
6912.46077000    0.00482    0.00902
6912.46153000    0.00507    0.00948
6912.46179000    0.00451    0.00897
6912.46204000    0.00543    0.00899
6912.46229000    0.01200    0.00911
6912.46255000    0.01103    0.00908
6912.46280000    0.00243    0.00925
6912.46306000    0.00035    0.00893
6912.46331000    0.00274    0.00918
6912.46382000    0.00118    0.00887
6912.46408000    0.01171    0.00911
6912.46434000    0.00389    0.00894
6912.46460000    0.00837    0.00905
6912.46485000    -0.01051    0.00871
6912.46511000    0.00305    0.00893
6912.46536000    0.00008    0.00888
6912.46562000    0.00300    0.00891
6912.46587000    0.00020    0.00888
6912.46613000    0.00468    0.00893
6912.46638000    0.00696    0.00899
6912.46663000    0.00654    0.00907
6912.46689000    -0.00453    0.00879
6912.46740000    0.01598    0.00922
6912.46765000    0.01278    0.00912
6912.46791000    0.01033    0.00913
6912.46816000    0.00606    0.00920
6912.46868000    0.00282    0.00902
6912.46894000    0.00006    0.00891
6912.46919000    -0.00425    0.00881
6912.46945000    0.01006    0.00968
6912.46970000    0.01054    0.00914
6912.46996000    0.01384    0.00918
6912.47021000    0.00512    0.00901
6912.47047000    0.01180    0.00917
6912.47072000    0.00352    0.00903
6912.47148000    0.00207    0.00897
6912.47174000    0.00616    0.00906
6912.47199000    0.01019    0.00914
6912.47226000    0.00658    0.00908
6912.47251000    0.01082    0.00921
6912.47277000    -0.00285    0.00953
6912.47302000    0.00692    0.00914
6912.47328000    0.00946    0.00919
6912.47353000    0.00710    0.00912
6912.47379000    0.00242    0.00912
6912.47404000    0.00576    0.00914
6912.47430000    -0.00400    0.00896
6912.47506000    -0.00035    0.00924
6912.47531000    0.00011    0.00925
6912.47557000    0.00107    0.00906
6912.47582000    0.01677    0.00938
6912.47608000    0.00913    0.00921
6912.47634000    0.00226    0.00908
6912.47660000    0.00509    0.00912
6912.47685000    0.00077    0.00912
6912.47711000    0.00907    0.00938
6912.47736000    0.00349    0.00917
6912.47762000    0.01120    0.00931
6912.47787000    0.00189    0.00912
6912.47813000    0.00682    0.00922
6912.47838000    0.01069    0.00930
6912.47864000    0.00607    0.00920
6912.47889000    0.00425    0.00916
6912.47915000    0.00842    0.00923
6912.47940000    -0.00409    0.00927
6912.47966000    0.01081    0.00931
6912.47991000    0.00494    0.00919
6912.48016000    0.00392    0.00913
6912.48043000    0.00765    0.00923
6912.48069000    0.01303    0.00935
6912.48094000    -0.00042    0.00928
6912.48145000    0.00479    0.00917
6912.48170000    0.00207    0.00943
6912.48196000    0.00593    0.00922
6912.48221000    0.00704    0.00924
6912.48247000    0.01252    0.00936
6912.48272000    -0.00212    0.00909
6912.48298000    0.00274    0.00922
6912.48323000    0.00141    0.00917
6912.48374000    0.00230    0.00917
6912.48400000    -0.00050    0.00910
6912.48426000    0.01448    0.00940
6912.48452000    0.01255    0.00937
6912.48477000    0.00597    0.00923
6912.48503000    0.01151    0.00936
6912.48528000    0.01610    0.00943
6912.48553000    0.00224    0.00917
6912.48579000    0.00093    0.00920
6912.48604000    0.00364    0.00919
6912.48655000    0.00549    0.00923
6912.48681000    0.00104    0.00917
6912.48706000    0.00488    0.00924
6912.48732000    0.01067    0.00949
6912.48757000    0.00191    0.00922
6912.48784000    0.00191    0.00926
6912.48809000    0.00284    0.00930
6912.48835000    0.00496    0.00929
6912.48886000    0.00494    0.00977
6912.48911000    0.00672    0.00934
6912.48937000    0.00240    0.00928
6912.48962000    0.00518    0.00933
6912.48987000    0.00568    0.00938
6912.49013000    -0.00017    0.00930
6912.49038000    0.00910    0.00939
6912.49064000    0.00523    0.00935
6912.49089000    0.00531    0.00939
6912.49115000    0.00596    0.00931
6912.49140000    0.00347    0.00926
6912.49167000    -0.00129    0.01121
6912.49218000    0.00462    0.00930
6912.49243000    0.00677    0.00935
6912.49269000    -0.00169    0.00920
6912.49294000    0.00151    0.00925
6912.49320000    0.00809    0.00938
6912.49345000    0.00826    0.00938
6912.49371000    0.01107    0.00947
6912.49396000    -0.00301    0.00915
6912.49421000    0.00462    0.00957
6912.49447000    0.00353    0.00931
6912.49472000    0.00049    0.00928
6912.49549000    -0.00253    0.00922
6912.49575000    0.00721    0.00946
6912.49601000    -0.00318    0.00921
6912.49626000    0.01330    0.00954
6912.49652000    0.00541    0.00937
6912.49677000    0.01028    0.00946
6912.49703000    0.00735    0.00942
6912.49728000    0.00119    0.00930
6912.49754000    0.00675    0.00940
6912.49779000    0.00042    0.00927
6912.49856000    -0.01029    0.00923
6912.49906000    0.00151    0.00933
6912.49932000    -0.00368    0.00922
6912.49957000    0.00145    0.00934
6912.49984000    0.01144    0.00958
6912.50009000    0.01232    0.00984
6912.50060000    0.00096    0.00944
6912.50086000    0.01159    0.00956
6912.50111000    0.00684    0.00947
6912.50137000    0.01304    0.01333
6912.50188000    0.02080    0.01011
6912.50213000    -0.00498    0.01022
6912.50239000    0.00717    0.00968
6912.50315000    0.00924    0.00958
6912.50342000    -0.00391    0.00930
6912.50367000    0.01710    0.00975
6912.50393000    0.00307    0.00951
6912.50418000    0.00242    0.00944
6912.50469000    0.01168    0.00976
6912.50494000    0.00887    0.00960
6912.50520000    0.00102    0.00944
6912.50545000    0.00791    0.01037
6912.50571000    0.00119    0.00948
6912.50596000    0.01690    0.00977
6912.50622000    0.01116    0.00967
6912.50647000    0.01011    0.00976
6912.50673000    0.00373    0.00957
6912.50724000    0.00294    0.00946
6912.50750000    -0.00432    0.00932
6912.50776000    0.01823    0.00978
6912.50801000    -0.00091    0.00942
6912.50827000    0.00040    0.00944
6912.50852000    0.00988    0.00965
6912.50877000    0.01485    0.00976
6912.50903000    0.01325    0.00970
6912.50928000    0.01275    0.01133
6912.50979000    -0.00270    0.00942
6912.51030000    -0.00094    0.00945
6912.51056000    0.00540    0.00965
6912.51081000    0.01045    0.00967
6912.51107000    -0.00101    0.01042
6912.51133000    0.00089    0.00952
6912.51159000    0.00504    0.00958
6912.51184000    0.00364    0.00956
6912.51235000    -0.00766    0.00955
6912.51261000    0.01256    0.00974
6912.51286000    0.00853    0.00969
6912.51311000    0.01404    0.00981
6912.51337000    -0.00306    0.01075
6912.51362000    0.00572    0.00969
6912.51388000    0.00457    0.00974
6912.51413000    0.00227    0.00958
6912.51439000    0.01284    0.00982
6912.51464000    0.02214    0.01021
6912.51490000    0.02161    0.01000
6912.51516000    -0.00701    0.00943
6912.51542000    0.00474    0.00970
6912.51567000    0.00731    0.00987
6912.51618000    0.00012    0.00995
6912.51644000    0.00819    0.00976
6912.51669000    0.01431    0.01029
6912.51695000    0.00298    0.00965
6912.51720000    -0.00348    0.00949
6912.51746000    0.01289    0.01006
6912.51771000    -0.00014    0.00955
6912.51796000    0.01638    0.00999
6912.51847000    0.00610    0.00994
6912.51873000    -0.00122    0.00977
6912.51899000    -0.00042    0.00963
6912.51925000    -0.00337    0.00955
6912.51950000    -0.00058    0.01279
6912.51976000    0.00558    0.01101
6912.52001000    -0.00139    0.00997
6912.52027000    0.00712    0.00982
6912.52052000    0.00794    0.00986
6912.52078000    0.02597    0.01024
6912.52103000    0.01024    0.00990
6912.52129000    -0.00080    0.00968
6912.52154000    0.00855    0.00990
6912.52180000    -0.00711    0.01008
6912.52205000    0.01263    0.00999
6912.52230000    0.00062    0.00976
6912.52308000    0.00224    0.00976
6912.52333000    0.00452    0.00984
6912.52359000    0.00165    0.00979
6912.52384000    0.01192    0.01001
6912.52410000    0.00703    0.00990
6912.52435000    0.01198    0.01000
6912.52461000    0.00205    0.00981
6912.52486000    0.00736    0.00991
6912.52512000    0.00194    0.00982
6912.52537000    0.00343    0.00987
6912.52563000    0.00254    0.00979
6912.52639000    0.00564    0.00984
6912.52664000    -0.00483    0.00968
6912.52691000    -0.00623    0.00964
6912.52717000    0.00455    0.01061
6912.52742000    -0.00126    0.01011
6912.52767000    -0.00520    0.00970
6912.52793000    0.01070    0.00999
6912.52844000    0.01516    0.01024
6912.52869000    0.01426    0.01010
6912.52895000    0.00103    0.00983
6912.52920000    0.01237    0.01007
6912.52946000    -0.00581    0.00969
6912.52971000    -0.00098    0.00981
6912.52997000    0.00398    0.00991
6912.53022000    0.01450    0.01019
6912.53048000    0.00947    0.01002
6912.53073000    -0.00626    0.00973
6912.53100000    -0.00456    0.00969
6912.53125000    -0.00726    0.00966
6912.53151000    -0.00022    0.00984
6912.53176000    0.01773    0.01020
6912.53201000    0.00045    0.00985
6912.53227000    0.01378    0.01014
6912.53252000    -0.00272    0.00981
6912.53278000    0.01358    0.01017
6912.53303000    0.00651    0.01000
6912.53329000    0.01490    0.01020
6912.53354000    0.02690    0.01053
6912.53380000    -0.00990    0.00986
6912.53405000    0.01007    0.01015
6912.53431000    -0.00467    0.00983
6912.53456000    0.00865    0.01013
6912.53483000    0.00302    0.01002
6912.53508000    0.00576    0.01002
6912.53534000    0.00921    0.01019
6912.53559000    -0.01265    0.00969
6912.53585000    0.01240    0.01022
6912.53610000    0.00578    0.01009
6912.53636000    0.00806    0.01015
6912.53661000    0.01597    0.01033
6912.53686000    0.00459    0.01007
6912.53712000    -0.00006    0.01010
6912.53737000    0.01141    0.01028
6912.53763000    -0.00506    0.00990
6912.53788000    -0.00073    0.00998
6912.53814000    0.00858    0.01015
6912.53840000    0.00284    0.01005
6912.53866000    -0.00035    0.01004
6912.53891000    0.00516    0.01059
6912.53917000    0.01028    0.01027
6912.53942000    -0.00186    0.01003
6912.53968000    0.00173    0.01008
6912.53993000    0.00381    0.01014
6912.54019000    0.00232    0.01013
6912.54044000    0.00693    0.01023
6912.54070000    -0.00495    0.00995
6912.54146000    0.01354    0.01055
6912.54171000    0.02345    0.01091
6912.54197000    0.01256    0.01049
6912.54222000    0.00859    0.01039
6912.54249000    0.01010    0.01043
6912.54274000    -0.00034    0.01017
6912.54300000    0.00826    0.01129
6912.54351000    0.00794    0.01043
6912.54402000    0.02179    0.01074
6912.54427000    -0.00360    0.01023
6912.54453000    0.01144    0.01091
6912.54478000    0.00468    0.01046
6912.54504000    -0.00116    0.01030
6912.54529000    0.00552    0.01050
6912.54554000    0.01043    0.01062
6912.54580000    0.00515    0.01051
6912.54605000    0.01507    0.01076
6912.54632000    0.01379    0.01076
6912.54683000    0.00653    0.01062
6912.54708000    0.00262    0.01055
6912.54734000    0.01019    0.01072
6912.54759000    0.01799    0.01093
6912.54810000    0.00633    0.01073
6912.54836000    0.00297    0.01062
6912.54861000    0.00255    0.01069
6912.54887000    0.00383    0.01077
6912.54912000    0.00594    0.01084
6912.54938000    0.01802    0.01113
6912.54963000    0.01124    0.01109
6912.54988000    0.01417    0.01107
6912.55014000    0.01161    0.01112
6912.55041000    -0.00005    0.01082
6912.55066000    0.00089    0.01098
6912.55091000    0.01309    0.01117
6912.55117000    0.00831    0.01106
6912.55168000    0.01101    0.01131
6912.55193000    0.01333    0.01137
6912.55219000    0.00765    0.01109
6912.55244000    0.01737    0.01146
6912.55270000    0.02486    0.01217
6912.55295000    0.01388    0.01147
6912.55321000    0.02319    0.01165
6912.55346000    0.00279    0.01116
6912.55372000    0.00268    0.01125
6912.55397000    0.01703    0.01158
6912.55424000    0.00673    0.01190
